"","beta0","beta1","gamma","gamma","mu","sigma","t","tau","num_na"
"1",15,0.01,0.1,0.802469135802481,0.978641975308642,0.1200222225461,4.0625000000003,1.5200500007288,0
"2",15,0.01,1,0.980246913580248,0.978641975308642,0.1200222225461,49.625000000003,6.96909781981199,0
"3",15,0.01,10,0.998024691358025,0.978641975308642,0.1200222225461,505.25000000003,24.200500007288,0
